layer 37
    conv filter 1
      unnormalized sims:
        top 0 is 13=',' with sim 2.289437770843506
        top 1 is 15='.' with sim 2.1231915950775146
        top 2 is 285=' and' with sim 1.565155267715454
        top 3 is 247=' a' with sim 1.4360926151275635
        top 4 is 253=' the' with sim 1.248976707458496
        top 5 is 281=' to' with sim 1.2253530025482178
        top 6 is 0='<|endoftext|>' with sim 1.1841204166412354
        top 7 is 387=' at' with sim 1.0670963525772095
        top 8 is 45='L' with sim 0.48806309700012207
        top 9 is 2419=' house' with sim 0.39370203018188477
        top 10 is 574=' had' with sim 0.36906588077545166
        top 11 is 8652=' Lee' with sim 0.361439973115921
        top 12 is 8939=' Pet' with sim 0.29428160190582275
        top 13 is 6893=' Frank' with sim 0.2753702402114868
        top 14 is 7903=' Max' with sim 0.21151018142700195
        top 15 is 12447=' Rose' with sim 0.16536274552345276
        top 16 is 16922=' Alice' with sim 0.09419047832489014
        top 17 is 4382=' computer' with sim 0.07586586475372314
        top 18 is 3689=' Min' with sim -0.010700598359107971
        top 19 is 3534=' gave' with sim -0.03773214668035507
        top 20 is 5818=' ring' with sim -0.05776947736740112
        top 21 is 31316=' Ellen' with sim -0.104869544506073
        top 22 is 25635=' Ruth' with sim -0.10740277171134949
        top 23 is 2143=' school' with sim -0.10800379514694214
        top 24 is 6086=' George' with sim -0.11150294542312622
        top 25 is 10049=' Van' with sim -0.11392664164304733
        top 26 is 6393=' Mary' with sim -0.1575726866722107
        top 27 is 36097=' Jenny' with sim -0.17082661390304565
        top 28 is 38916=' Willie' with sim -0.174199640750885
        top 29 is 5769=' Sam' with sim -0.19850170612335205
        top 30 is 12694=' Elizabeth' with sim -0.2016952633857727
        top 31 is 5961=' bone' with sim -0.20268450677394867
        top 32 is 22463=' Robin' with sim -0.20949864387512207
        top 33 is 47896=' Cecil' with sim -0.21073082089424133
        top 34 is 18707=' Gray' with sim -0.22473672032356262
        top 35 is 10766=' Kim' with sim -0.2375604659318924
        top 36 is 4657=' store' with sim -0.24191156029701233
        top 37 is 6416=' Christian' with sim -0.2437211573123932
        top 38 is 36532=' Randy' with sim -0.2736480236053467
        top 39 is 37932=' Raven' with sim -0.28113389015197754
        top 40 is 3906=' office' with sim -0.2818945050239563
        top 41 is 27261=' Julia' with sim -0.28692343831062317
        top 42 is 31231=' Claire' with sim -0.31318968534469604
        top 43 is 35436=' Donna' with sim -0.31870830059051514
        top 44 is 31959=' Rebecca' with sim -0.31920045614242554
        top 45 is 20145=' Margaret' with sim -0.3205008804798126
        top 46 is 31479=' Liz' with sim -0.32548272609710693
        top 47 is 20882=' Danny' with sim -0.3265763819217682
        top 48 is 47385=' Elaine' with sim -0.33156195282936096
        top 49 is 22723=' Sean' with sim -0.3434673547744751
        top 50 is 2552=' May' with sim -0.34737786650657654
        top 51 is 36253=' Jill' with sim -0.3474806547164917
        top 52 is 14943=' Kelly' with sim -0.34949636459350586
        top 53 is 16543=' Anna' with sim -0.35531407594680786
        top 54 is 794=' fun' with sim -0.3629494905471802
        top 55 is 3419=' Ag' with sim -0.3654988706111908
        top 56 is 20222=' Susan' with sim -0.36687958240509033
        top 57 is 27575=' Happy' with sim -0.3697104752063751
        top 58 is 2263=' Cal' with sim -0.3845822215080261
        top 59 is 19917=' Barbara' with sim -0.3919244408607483
        top 60 is 23961=' Kay' with sim -0.3940519690513611
        top 61 is 8969=' Tim' with sim -0.39421358704566956
        top 62 is 6939=' Mil' with sim -0.4019105136394501
        top 63 is 22707=' Lisa' with sim -0.4156317114830017
        top 64 is 42518=' Rica' with sim -0.42400428652763367
        top 65 is 6588=' Kore' with sim -0.4260779917240143
        top 66 is 35657=' Leslie' with sim -0.4266115725040436
        top 67 is 27955=' Faith' with sim -0.4270328879356384
        top 68 is 35944=' Andrea' with sim -0.44463086128234863
        top 69 is 15541=' Hope' with sim -0.4477374255657196
        top 70 is 45655=' Tina' with sim -0.44899553060531616
        top 71 is 10734=' Ray' with sim -0.4536742568016052
        top 72 is 35503=' Rosa' with sim -0.4539804458618164
        top 73 is 21088=' Marie' with sim -0.459118515253067
        top 74 is 36965=' Diane' with sim -0.4638935327529907
        top 75 is 45664=' Allison' with sim -0.4687477946281433
        top 76 is 37101=' Honey' with sim -0.4727734923362732
        top 77 is 47613=' Irene' with sim -0.4750653803348541
        top 78 is 41654=' Rosie' with sim -0.47938069701194763
        top 79 is 48930=' Clem' with sim -0.4860401451587677
        top 80 is 10497=' Asia' with sim -0.4914582371711731
        top 81 is 19669=' Billy' with sim -0.49263155460357666
        top 82 is 42006=' Paula' with sim -0.4992435574531555
        top 83 is 48990=' Leah' with sim -0.5089918375015259
        top 84 is 37601=' Britt' with sim -0.5103634595870972
        top 85 is 21122=' Jerry' with sim -0.521163284778595
        top 86 is 18966=' Grace' with sim -0.5223065614700317
        top 87 is 38994=' Melissa' with sim -0.5239377021789551
        top 88 is 13268=' Jordan' with sim -0.5389108657836914
        top 89 is 45931=' Vera' with sim -0.5408573746681213
        top 90 is 36669=' Dana' with sim -0.5447261333465576
        top 91 is 21521=' Ruby' with sim -0.5456374883651733
        top 92 is 22169=' Beth' with sim -0.5470287799835205
        top 93 is 24112=' Lucy' with sim -0.5503752827644348
        top 94 is 37930=' Nicole' with sim -0.5505518913269043
        top 95 is 46194=' Gus' with sim -0.5612146258354187
        top 96 is 37976=' Theresa' with sim -0.5655525922775269
        top 97 is 20428=' Kate' with sim -0.5681456923484802
        top 98 is 21804=' Bert' with sim -0.5695293545722961
        top 99 is 28518=' Hannah' with sim -0.5705001354217529
        top 100 is 40103=' Dorothy' with sim -0.5733619332313538
        top 101 is 37921=' Molly' with sim -0.573903501033783
        top 102 is 37083=' Heather' with sim -0.5744521617889404
        top 103 is 23425=' Catherine' with sim -0.5744850039482117
        top 104 is 32817=' Lily' with sim -0.5764703154563904
        top 105 is 45503=' Bella' with sim -0.5786171555519104
        top 106 is 35685=' Janet' with sim -0.5815926790237427
        top 107 is 49150=' Leigh' with sim -0.5917568802833557
        top 108 is 46980=' Rita' with sim -0.5934377908706665
        top 109 is 48511=' Theo' with sim -0.5940674543380737
        top 110 is 34655=' Caroline' with sim -0.598849892616272
        top 111 is 16286=' Morgan' with sim -0.6037112474441528
        top 112 is 38048=' Judy' with sim -0.6056891679763794
        top 113 is 18267=' Atlanta' with sim -0.6100229620933533
        top 114 is 7758=' Florida' with sim -0.6114562749862671
        top 115 is 15784=' Row' with sim -0.612778902053833
        top 116 is 21638=' Terry' with sim -0.6159875392913818
        top 117 is 37497=' Katherine' with sim -0.6181556582450867
        top 118 is 31338=' Annie' with sim -0.6240858435630798
        top 119 is 24707=' Bobby' with sim -0.6251312494277954
        top 120 is 38150=' Stephanie' with sim -0.6263490319252014
        top 121 is 37641=' Jackie' with sim -0.6357857584953308
        top 122 is 4162=' April' with sim -0.643796443939209
        top 123 is 44056=' Lindsay' with sim -0.6486908197402954
        top 124 is 27741=' Florence' with sim -0.6564762592315674
        top 125 is 5484=' drink' with sim -0.6567776203155518
        top 126 is 28331=' Michelle' with sim -0.6574986577033997
        top 127 is 7948=' Tuesday' with sim -0.6575949192047119
        top 128 is 29778=' Joan' with sim -0.6576502323150635
        top 129 is 49567=' Peggy' with sim -0.6577453017234802
        top 130 is 30680=' Meta' with sim -0.6588248014450073
        top 131 is 36938=' Dell' with sim -0.6632453203201294
        top 132 is 12885=' Holly' with sim -0.666496753692627
        top 133 is 34876=' Sue' with sim -0.668059229850769
        top 134 is 46972=' Gloria' with sim -0.6683624386787415
        top 135 is 38181=' Dot' with sim -0.6720069646835327
        top 136 is 36604=' Brett' with sim -0.6749645471572876
        top 137 is 8141=' Star' with sim -0.6760764718055725
        top 138 is 16916=' Austin' with sim -0.6808637976646423
        top 139 is 27773=' Blake' with sim -0.6843043565750122
        top 140 is 22138=' Amy' with sim -0.688493549823761
        top 141 is 48055=' Violet' with sim -0.6943955421447754
        top 142 is 48718=' Nell' with sim -0.6950182318687439
        top 143 is 4660=' station' with sim -0.6984455585479736
        top 144 is 14861=' Tony' with sim -0.7027666568756104
        top 145 is 39319=' Ara' with sim -0.7056583762168884
        top 146 is 41131=' Amber' with sim -0.7080744504928589
        top 147 is 31717=' Alexa' with sim -0.7344086170196533
        top 148 is 10329=' garden' with sim -0.7345340251922607
        top 149 is 22739=' Rachel' with sim -0.741402268409729
        top 150 is 33603=' Lynn' with sim -0.7420258522033691
        top 151 is 13209=' Bab' with sim -0.745649516582489
        top 152 is 42809=' Whitney' with sim -0.7463992834091187
        top 153 is 31069=' Bee' with sim -0.7509384155273438
        top 154 is 13089=' Jean' with sim -0.7535158395767212
        top 155 is 17467=' Anne' with sim -0.7552788853645325
        top 156 is 6039=' Cam' with sim -0.7574723958969116
        top 157 is 21130=' Andy' with sim -0.7596272230148315
        top 158 is 31472=' Jesse' with sim -0.7609081268310547
