layer 47
    conv filter 1
      unnormalized sims:
        top 0 is 13=',' with sim 1.4592626094818115
        top 1 is 285=' and' with sim 1.3245426416397095
        top 2 is 15='.' with sim 1.3146133422851562
        top 3 is 247=' a' with sim 1.0886127948760986
        top 4 is 281=' to' with sim 1.0435290336608887
        top 5 is 387=' at' with sim 1.0390448570251465
        top 6 is 253=' the' with sim 0.9039381742477417
        top 7 is 45='L' with sim 0.7813335657119751
        top 8 is 0='<|endoftext|>' with sim 0.5569796562194824
        top 9 is 574=' had' with sim 0.5306376218795776
        top 10 is 3419=' Ag' with sim 0.4696285128593445
        top 11 is 2263=' Cal' with sim 0.4480113983154297
        top 12 is 4382=' computer' with sim 0.40425780415534973
        top 13 is 2419=' house' with sim 0.3832239508628845
        top 14 is 5769=' Sam' with sim 0.34112268686294556
        top 15 is 3534=' gave' with sim 0.3282319903373718
        top 16 is 2552=' May' with sim 0.3189549446105957
        top 17 is 794=' fun' with sim 0.29675060510635376
        top 18 is 7903=' Max' with sim 0.2937548756599426
        top 19 is 10049=' Van' with sim 0.25628364086151123
        top 20 is 7758=' Florida' with sim 0.2430545687675476
        top 21 is 5484=' drink' with sim 0.24106453359127045
        top 22 is 8652=' Lee' with sim 0.23480167984962463
        top 23 is 2143=' school' with sim 0.21008089184761047
        top 24 is 4162=' April' with sim 0.20767322182655334
        top 25 is 8969=' Tim' with sim 0.19703269004821777
        top 26 is 12096=' Georgia' with sim 0.1893836110830307
        top 27 is 3689=' Min' with sim 0.17312182486057281
        top 28 is 3978=' June' with sim 0.1599002480506897
        top 29 is 13089=' Jean' with sim 0.14926210045814514
        top 30 is 10734=' Ray' with sim 0.1381838023662567
        top 31 is 10766=' Kim' with sim 0.1319340467453003
        top 32 is 12447=' Rose' with sim 0.1315826177597046
        top 33 is 6039=' Cam' with sim 0.13017776608467102
        top 34 is 6393=' Mary' with sim 0.129817932844162
        top 35 is 9385=' Virginia' with sim 0.1249014139175415
        top 36 is 29026=' Alberta' with sim 0.12217193096876144
        top 37 is 13268=' Jordan' with sim 0.12152983248233795
        top 38 is 8939=' Pet' with sim 0.12000153958797455
        top 39 is 6939=' Mil' with sim 0.11845345795154572
        top 40 is 4660=' station' with sim 0.1163308173418045
        top 41 is 5961=' bone' with sim 0.09554879367351532
        top 42 is 4675=' hospital' with sim 0.09493061155080795
        top 43 is 10301=' restaurant' with sim 0.09143383800983429
        top 44 is 7948=' Tuesday' with sim 0.08754436671733856
        top 45 is 6893=' Frank' with sim 0.08182073384523392
        top 46 is 16916=' Austin' with sim 0.08061133325099945
        top 47 is 22739=' Rachel' with sim 0.0771641731262207
        top 48 is 4657=' store' with sim 0.062095679342746735
        top 49 is 18267=' Atlanta' with sim 0.057936519384384155
        top 50 is 5818=' ring' with sim 0.05715251341462135
        top 51 is 21521=' Ruby' with sim 0.05264265835285187
        top 52 is 18966=' Grace' with sim 0.03409145772457123
        top 53 is 3906=' office' with sim 0.030206147581338882
        top 54 is 16543=' Anna' with sim 0.029011987149715424
        top 55 is 6086=' George' with sim 0.02805173024535179
        top 56 is 10329=' garden' with sim 0.02427683398127556
        top 57 is 16700=' Dallas' with sim 0.022177517414093018
        top 58 is 8141=' Star' with sim 0.01268440019339323
        top 59 is 21122=' Jerry' with sim 0.008203357458114624
        top 60 is 15458=' Sarah' with sim 0.008070524781942368
        top 61 is 38181=' Dot' with sim 0.003445371985435486
